number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
0,2.504495144659716,2025-12-13 11:32:05.794787,2025-12-13 11:32:07.995465,0 days 00:00:02.200678,0.941954404282085,0.6985926897699268,0.006354707782955294,8,4.706921622905245,659,0.9725143356181946,1.792011745440565,0.7373059414325992,COMPLETE
1,2.627502387992136,2025-12-13 11:32:07.995900,2025-12-13 11:32:09.119740,0 days 00:00:01.123840,0.9720752092677275,1.7264452814189368,0.012966322695226868,6,7.6462246457166625,465,0.6782853645797952,2.3770668968686834,0.717044781771506,COMPLETE
2,2.446602166952619,2025-12-13 11:32:09.120249,2025-12-13 11:32:09.717425,0 days 00:00:00.597176,0.9676892010576373,3.9849264805782294,0.04950564861367119,6,8.189136216432152,427,0.2643208340281894,3.3502882231877558,0.9358797052712078,COMPLETE
3,2.8350547691863572,2025-12-13 11:32:09.717909,2025-12-13 11:32:11.115826,0 days 00:00:01.397917,0.9589794888042387,1.9360017321279717,0.037846295973058414,3,6.854860840613048,1063,0.6467868687324283,3.8587756680434677,0.7017205141746298,COMPLETE
4,2.869003140603892,2025-12-13 11:32:11.116276,2025-12-13 11:32:12.649739,0 days 00:00:01.533463,0.8523090577016498,4.087883592312113,0.011830273557301247,4,6.783454057360984,927,0.6971569735439249,2.2160360934678303,0.8681992979983384,COMPLETE
5,3.0007931692194174,2025-12-13 11:32:12.650189,2025-12-13 11:32:14.033562,0 days 00:00:01.383373,0.990522185472493,0.4746244946573447,0.01991737345762696,3,5.435474014321271,1041,0.4208095255614933,3.971652280426147,0.6951184804704952,COMPLETE
6,2.3475826274694613,2025-12-13 11:32:14.034026,2025-12-13 11:32:15.759131,0 days 00:00:01.725105,0.8124771181078478,1.546142645242146,0.01967295461438033,6,9.167851388186728,822,0.3698664712062788,3.532420730890591,0.9935788805869449,COMPLETE
7,2.5721176698751393,2025-12-13 11:32:15.759601,2025-12-13 11:32:17.926818,0 days 00:00:02.167217,0.9563181705336641,3.9642379166213484,0.0066984843425936915,6,3.393999679489564,880,0.2419104644175316,1.963275705335304,0.668970962464132,COMPLETE
8,2.3426686346502104,2025-12-13 11:32:17.927264,2025-12-13 11:32:20.045656,0 days 00:00:02.118392,0.7329604647752923,1.0075870505266455,0.008713933221361539,6,2.553191473868243,854,0.7503341297287981,0.7697181609171149,0.8889460703459205,COMPLETE
9,3.1624391291610676,2025-12-13 11:32:20.046126,2025-12-13 11:32:21.109302,0 days 00:00:01.063176,0.629201333089267,4.533586700190091,0.007284738879605051,5,9.00792317014372,529,0.28511969117105707,2.058438518550096,0.7811672917464643,COMPLETE
10,2.191012033718559,2025-12-13 11:32:21.109753,2025-12-13 11:32:23.264571,0 days 00:00:02.154818,0.668601996477738,2.830579545521354,0.009606760488569878,8,1.0566308272363205,692,0.03714571299034197,0.7166814804633037,0.8578456670284065,COMPLETE
11,2.1957144240324045,2025-12-13 11:32:23.265022,2025-12-13 11:32:25.398823,0 days 00:00:02.133801,0.6681013721953137,2.771471376225352,0.009585912158644704,8,1.0467063529280909,679,0.015489848320953608,0.5418144237549388,0.8691221455495834,COMPLETE
12,2.2359784454635814,2025-12-13 11:32:25.399292,2025-12-13 11:32:27.436033,0 days 00:00:02.036741,0.6117984269403296,3.0667163820171512,0.010076702101566021,8,1.1040089174637906,661,0.01163811668572776,0.7262996520058076,0.821035514645907,COMPLETE
13,2.2629577725574532,2025-12-13 11:32:27.436473,2025-12-13 11:32:29.454076,0 days 00:00:02.017603,0.6953089194154758,3.12062861317236,0.01723788756019475,8,1.4887413167876757,678,0.004241952669091886,4.974888449414287,0.6006139867885739,COMPLETE
14,2.484445088679065,2025-12-13 11:32:29.454614,2025-12-13 11:32:31.558618,0 days 00:00:02.104004,0.7011743706281437,2.7167782061186285,0.005724209373108732,7,3.3498355382907663,724,0.15823595931152315,1.250460071653266,0.8423258233542472,COMPLETE
15,2.2326201839312856,2025-12-13 11:32:31.559087,2025-12-13 11:32:33.068949,0 days 00:00:01.509862,0.6614595247214211,2.333036541971191,0.014412843193602838,7,2.480093186421542,562,0.11494192548266408,1.3560842057353129,0.9226948286340888,COMPLETE
